x,ICA_original,ICA_smoothed
0.0,3.1759,3.1915852156166333
0.0001538542999779,3.1758,3.215732611935791
0.0082032315397318,3.21,3.266271026553892
0.015235571913398,3.3705,3.3392857409058148
0.0160298197606866,3.3919,3.4272705826970293
0.0199231327932447,3.5109,3.5276116129890287
0.022979238660988,3.6364,3.6395971693898934
0.0253939519275246,3.7475,3.758717782845916
0.0282072876985494,3.912,3.8790523281356157
0.0289365970426006,3.957,3.9975133691105365
0.0324282904089826,4.1647,4.113816390391291
0.0329098343868356,4.193,4.230236767654974
0.0350857737722376,4.3392,4.351392080711209
0.0368830717310706,4.488,4.478102075861317
0.038290738670479,4.604,4.605166487009637
0.0404786667026326,4.7624,4.72885184581947
0.0408573081292016,4.7914,4.8510714085238265
0.0438404830625397,5.0231,4.972803196102468
0.0448305454734366,5.0908,5.090722567827605
0.0464979664257947,5.1996,5.205794649596651
0.0478117222989828,5.297,5.324845436335556
0.0497029313240361,5.4483,5.449900250084467
0.0517350069484198,5.6268,5.575912119601167
0.0517849596432178,5.6312,5.7001539739973826
0.0548620456427762,5.8775,5.822783299925011
0.0557581969874528,5.9345,5.941309630490931
0.0578322328754669,6.0641,6.055817601411794
0.058740372866895,6.1365,6.171485600695776
0.0608024201081575,6.3108,6.290509650128126
0.06271361021113,6.4271,6.410507846231084
0.0636167549330783,6.4772,6.53039751074019
0.0676789080740538,6.7152,6.648529343385447
0.0680715362551663,6.736,6.7612112568146205
0.0716661321728323,6.8904,6.869564111105716
0.0726442059369776,6.9363,6.9780105406398265
0.0768242474376765,7.1231,7.083655264278084
0.0805856853559679,7.2182,7.174445718694805
0.0826057723336,7.2514,7.238250259212558
0.0906521524116661,7.3397,7.266520029452544
0.0964606517627806,7.2977,7.252793103222201
0.0987764586936171,7.2575,7.197928176655603
0.1058837281094803,7.091,7.113825274368489
0.1083603827175664,7.0288,7.014985501634552
0.1113505510281763,6.9366,6.9094487928517845
0.1152998110789082,6.7545,6.801065595130627
0.1157234099307955,6.736,6.691692372225312
0.1204878979606312,6.5596,6.57986493054213
0.12223923944025,6.4825,6.464171923891881
0.1249386830671354,6.349,6.3461541358628075
0.1281856082290071,6.1923,6.228739497171275
0.1287650594886642,6.1645,6.112805593952926
0.1332937707990532,5.9479,5.997990037793735
0.1341329760716601,5.9106,5.885077122406948
0.1375107772939026,5.7593,5.773292769941984
0.1390882833956243,5.6783,5.660245923332384
0.141727783788752,5.5427,5.5458636730891415
0.1450356512382773,5.4029,5.432161566326688
0.1457879388219356,5.3703,5.319301785623235
0.1503955753901055,5.1537,5.206209607971729
0.1509820200270343,5.1285,5.092426487947977
0.1547684342927247,4.9772,4.9771192241307265
0.1579214483883761,4.8396,4.861681915051121
0.1597667009342153,4.7646,4.74991859767311
0.16460811611404,4.6022,4.6431136694045385
0.164860876749718,4.5926,4.5386871046354065
0.169997012828851,4.3916,4.434638548414331
0.1718003051110598,4.34,4.331915986924271
0.1755417619514319,4.2492,4.230879655179573
0.1807238545097792,4.094,4.1312865593111585
0.1817119188128841,4.0647,4.033565256039394
0.1878820756743364,3.9163,3.9373904036858796
0.1916315249458762,3.8419,3.8417358677629814
0.1955368266251859,3.7679,3.744598420497227
0.201784909690523,3.6315,3.645227943331719
0.2045243154732468,3.5429,3.547298127335878
0.2077202888864245,3.445,3.4571673727146495
0.2147506311522987,3.3467,3.3807318307248333
0.2213853480753726,3.3033,3.3194872873541668
0.2241237548042003,3.2846,3.268071079335338
0.2314668009395102,3.2184,3.220612396609263
0.2409967760530777,3.1522,3.1783085838757072
0.2442007418974231,3.1349,3.1461528211729233
0.2485736008000423,3.1181,3.1264307216006824
0.2589637613180318,3.0961,3.119164638319717
0.2665415851188924,3.1182,3.1243773287513843
0.2680111933998503,3.1241,3.1419190505096593
0.2758377816208051,3.1563,3.1708073159916115
0.2832597530138958,3.2105,3.208565194901975
0.2878544018814183,3.2467,3.2522908136900965
0.29302550484691,3.2887,3.299991749673479
0.3006812548516555,3.3569,3.348316489034082
0.3096827304542598,3.4187,3.3918743144665235
0.3097436727419134,3.4191,3.4278555577564176
0.3173994227466589,3.4632,3.456636228608393
0.3276337308568785,3.5013,3.4762822547612386
0.3334911838488951,3.4994,3.482117250062564
0.3347419993266377,3.4953,3.4720371723610293
0.3452880122523969,3.4532,3.4490959647241493
0.3527089845915917,3.4091,3.418302551291566
0.3533293970609832,3.4054,3.3810974835117826
0.3612229218929674,3.353,3.336335743108003
0.369659932044354,3.2667,3.286873708332679
0.3741596707917602,3.233,3.2386132241980166
0.3786424256229351,3.2026,3.194410287753221
0.3866888057010011,3.1404,3.155822189377986
0.3963746332223384,3.1023,3.1274133360803624
0.3979681241863955,3.0982,3.11392974358513
0.4037956055615332,3.0963,3.115952338619741
0.4134045059328815,3.1264,3.1302115546230627
0.419795453705341,3.1531,3.153153508792858
0.4212171073992929,3.1605,3.1840803350113416
0.4297320437545644,3.2147,3.223277234048056
0.4383259053676169,3.2829,3.268528522023237
0.4396396612408049,3.2959,3.316904046758276
0.4475451747195406,3.3752,3.365961617683725
0.4555915547976066,3.4253,3.4108161287371326
0.4624580522245434,3.4671,3.445223075276429
0.4650446027611852,3.4795,3.466369697606618
0.4721528712309443,3.4815,3.4758302891611983
0.4821524016756132,3.4835,3.4758491793045163
0.4842803864740091,3.4834,3.4664548257244547
0.4902767079575642,3.4655,3.448136032997421
0.4998846092750165,3.4033,3.426256927700247
0.5070957802960595,3.3975,3.408497892354765
0.5081647679647373,3.3973,3.398117995059681
0.5180084460016363,3.3853,3.3933091555645776
0.5257421222102668,3.3954,3.3909361299926113
0.5299111741181101,3.3918,3.3886060170107974
0.5351941711199494,3.3833,3.385611120746501
0.5423813648474894,3.3813,3.382709726660549
0.5527705263115829,3.3794,3.380422602600037
0.5537196275127454,3.3797,3.3780085232936745
0.560738980185764,3.3814,3.3743042214328627
0.5701910290954466,3.3653,3.3694652041763
0.5775280809073807,3.3611,3.3650735638164058
0.5782374091735126,3.3613,3.362066008410768
0.5882369396181815,3.3634,3.3598434061651803
0.5966739497695681,3.3554,3.357791537509999
0.6023285948207048,3.3539,3.356098823932343
0.6053447385326095,3.3554,3.35452011053599
0.6140155272956509,3.3594,3.3518040748248943
0.6236244276669993,3.3454,3.3471518885307248
0.6261370482153401,3.3424,3.341305668531689
0.6315139562833996,3.3354,3.336110330616312
0.6414355605241835,3.3193,3.333394790178275
0.648310050382288,3.3394,3.333001302181473
0.6499455016099753,3.3396,3.3324820315817067
0.6590898419197019,3.3274,3.3302265878825277
0.6667455919244475,3.3274,3.3270697223448265
0.6747460155232994,3.3216,3.3243285845283763
0.6767451223691163,3.3214,3.3220619961949645
0.6844008723738619,3.3274,3.3194480917092246
0.6943214775607499,3.3094,3.316361524912558
0.6995475284905195,3.3127,3.3135065773844303
0.702367857638816,3.3154,3.310871290748527
0.7122894618796,3.3074,3.30799143463695
0.7198662866265646,3.3014,3.3052814565529967
0.7233559818851547,3.3028,3.3032193255753852
0.7296310394056827,3.3054,3.301158862354197
0.7380680495570694,3.2994,3.2983727059479095
0.7475200984667519,3.2914,3.295332273743358
0.7481574948523747,3.2915,3.2926942000429955
0.7554885523409332,3.2954,3.289898161489999
0.7648626750467308,3.2874,3.286201891021491
0.7728311289209119,3.2774,3.2822998608589535
0.7729580087656989,3.2774,3.2793966154216854
0.7824400292922602,3.2794,3.2773805758050347
0.790798114185866,3.2774,3.275178820593438
0.7977595217329189,3.2713,3.2722942288584735
0.8001722368916635,3.2694,3.269105848075953
0.8087650994508201,3.2654,3.266196496153899
0.8179054435449629,3.2614,3.263837018592943
0.8225600356462429,3.2635,3.261594695235827
0.8262645274924646,3.2635,3.2586401469535535
0.8356386501982622,3.2514,3.255033715461823
0.8446221428307392,3.2495,3.25190663858566
0.8473615486134629,3.2489,3.2498051785659277
0.8529023015204601,3.2495,3.2476682357293183
0.8615740893373974,3.2535,3.244092433208353
0.8711040644509649,3.2314,3.239450678362549
0.8721630615806831,3.231,3.235375356588765
0.8791504445290309,3.2395,3.2321000598086886
0.889071049715919,3.2275,3.228766278563663
0.8959725140292143,3.2215,3.2257242978733336
0.8975859860711906,3.2215,3.2238711948050005
0.906960108776988,3.2255,3.2226041705676076
0.9150064888550542,3.2255,3.220265091779693
0.9207730279425383,3.216,3.2162282170667424
0.9246933154302874,3.2095,3.2115514340069318
0.9327396955083536,3.2055,3.2076536621565808
0.9419579658063812,3.2035,3.205009075458375
0.9455745409097585,3.2041,3.203053721231413
0.9499254206266664,3.2035,3.201019887691016
0.9590657647208094,3.1955,3.198741158375902
0.9681271835571712,3.1975,3.1963250561998917
0.9703760538769785,3.1965,3.1935031054537903
0.9767200461163278,3.1895,3.1902093966254896
0.98546976013715,3.1835,3.1870707025221865
0.9943753265657422,3.1855,3.1844686645981923
0.9951765677903024,3.1851,3.182176527050173
1.0,3.1755,3.1805424398030064
